title,year,rate,based on
Raging Bull,1980,8.1,"361,218 user ratings"
V for Vendetta,2005,8.1,"1,136,768 user ratings"
Gone with the Wind,1939,8.1,"321,238 user ratings"
"Lock, Stock and Two Smoking Barrels",1998,8.1,"592,676 user ratings"
Dial M for Murder,1954,8.1,"179,749 user ratings"
Inside Out,2015,8.1,"731,385 user ratings"
Howl's Moving Castle,2004,8.1,"408,146 user ratings"
The Secret in Their Eyes,2009,8.1,"213,252 user ratings"
"Three Billboards Outside Ebbing, Missouri",2017,8.1,"522,768 user ratings"
Trainspotting,1996,8.1,"698,383 user ratings"
The Bridge on the River Kwai,1957,8.1,"224,789 user ratings"
Prisoners,2013,8.1,"739,303 user ratings"
Fargo,1996,8.1,"689,747 user ratings"
Warrior,2011,8.1,"480,120 user ratings"
Gran Torino,2008,8.1,"786,605 user ratings"
Catch Me If You Can,2002,8.1,"1,013,131 user ratings"
My Neighbor Totoro,1988,8.1,"349,862 user ratings"
John Wick: Chapter 4,2023,8.1,"120,975 user ratings"
Million Dollar Baby,2004,8.1,"697,499 user ratings"
Children of Heaven,1997,8.1,"76,302 user ratings"
Blade Runner,1982,8.1,"784,050 user ratings"
The Gold Rush,1925,8.1,"113,422 user ratings"
Klaus,2019,8.1,"164,722 user ratings"
Harry Potter and the Deathly Hallows: Part 2,2011,8.1,"895,531 user ratings"
Before Sunrise,1995,8.1,"318,142 user ratings"
12 Years a Slave,2013,8.1,"713,024 user ratings"
Ben-Hur,1959,8.1,"244,234 user ratings"
On the Waterfront,1954,8.1,"157,951 user ratings"
The Grand Budapest Hotel,2014,8.1,"832,381 user ratings"
Gone Girl,2014,8.1,"1,003,343 user ratings"
Wild Strawberries,1957,8.1,"109,514 user ratings"
The General,1926,8.1,"93,461 user ratings"
Barry Lyndon,1975,8.1,"172,767 user ratings"
In the Name of the Father,1993,8.1,"179,092 user ratings"
The Deer Hunter,1978,8.1,"345,395 user ratings"
The Third Man,1949,8.1,"174,757 user ratings"
Hacksaw Ridge,2016,8.1,"544,614 user ratings"
The Wages of Fear,1953,8.1,"62,889 user ratings"
Memories of Murder,2003,8.1,"193,688 user ratings"
Wild Tales,2014,8.1,"203,909 user ratings"
Sherlock Jr.,1924,8.1,"51,957 user ratings"
Mr. Smith Goes to Washington,1939,8.1,"117,225 user ratings"
Mad Max: Fury Road,2015,8.1,"1,024,047 user ratings"
Mary and Max,2009,8.1,"180,165 user ratings"
The Seventh Seal,1957,8.1,"189,006 user ratings"
How to Train Your Dragon,2010,8.1,"756,800 user ratings"
"Monsters, Inc.",2001,8.1,"927,045 user ratings"
Dead Poets Society,1989,8.1,"505,968 user ratings"
Jaws,1975,8.1,"620,108 user ratings"
Room,2015,8.1,"429,689 user ratings"
The Big Lebowski,1998,8.1,"823,164 user ratings"
Tokyo Story,1953,8.1,"63,702 user ratings"
The Passion of Joan of Arc,1928,8.1,"56,918 user ratings"
Ford v Ferrari,2019,8.1,"412,651 user ratings"
Hotel Rwanda,2004,8.0,"360,813 user ratings"
Rocky,1976,8.0,"594,762 user ratings"
Platoon,1986,8.0,"421,639 user ratings"
Ratatouille,2007,8.0,"760,046 user ratings"
Spotlight,2015,8.0,"479,906 user ratings"
Logan,2017,8.0,"782,114 user ratings"
The Terminator,1984,8.0,"881,254 user ratings"
Stand by Me,1986,8.0,"414,684 user ratings"
Rush,2013,8.0,"488,844 user ratings"
Network,1976,8.0,"162,730 user ratings"
Before Sunset,2004,8.0,"272,087 user ratings"
Into the Wild,2007,8.0,"632,772 user ratings"
The Wizard of Oz,1939,8.0,"408,398 user ratings"
The Best Years of Our Lives,1946,8.0,"66,717 user ratings"
The Exorcist,1973,8.0,"418,349 user ratings"
Groundhog Day,1993,8.0,"647,271 user ratings"
The Incredibles,2004,8.0,"756,289 user ratings"
To Be or Not to Be,1942,8.0,"39,290 user ratings"
La haine,1995,8.0,"179,874 user ratings"
Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.0,"1,147,778 user ratings"
Pather Panchali,1955,8.0,"34,709 user ratings"
Hachi: A Dog's Tale,2009,8.0,"293,128 user ratings"
The Battle of Algiers,1966,8.0,"62,050 user ratings"
The Grapes of Wrath,1940,8.0,"95,688 user ratings"
Jai Bhim,2021,8.0,"205,804 user ratings"
My Father and My Son,2005,8.0,"87,925 user ratings"
Amores Perros,2000,8.0,"244,605 user ratings"
Rebecca,1940,8.0,"140,227 user ratings"
The Handmaiden,2016,8.0,"155,310 user ratings"
Cool Hand Luke,1967,8.0,"180,802 user ratings"
The Sound of Music,1965,8.0,"243,217 user ratings"
The 400 Blows,1959,8.0,"121,467 user ratings"
It Happened One Night,1934,8.0,"106,747 user ratings"
Persona,1966,8.0,"122,817 user ratings"
Life of Brian,1979,8.0,"407,249 user ratings"
The Iron Giant,1999,8.0,"207,044 user ratings"
The Help,2011,8.0,"469,994 user ratings"
Aladdin,1992,8.0,"433,193 user ratings"
Dersu Uzala,1975,8.0,"31,588 user ratings"
Dances with Wolves,1990,8.0,"274,601 user ratings"
